id,created_at,user_id,c4_4_1,c4_4_2,c4_4_3,c4_4_4,c4_4_5,c4_4_6,c4_4_7,dev_level
1,2025-02-18T12:31:17.508+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,2
2,2025-02-18T12:36:25.796+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,,,1
3,2025-02-18T12:36:46.024+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
4,2025-02-18T13:42:58.9+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
5,2025-02-18T13:55:20.935+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,True,,,4
6,2025-02-18T15:11:26.929+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
7,2025-02-18T15:36:54.077+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,,,2
8,2025-02-19T16:51:17.648+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,1
9,2025-02-19T17:16:57.43+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,,,4
10,2025-02-19T17:24:53.742+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,1
11,2025-02-19T23:18:08.054+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,1
12,2025-02-21T13:44:18.613+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
13,2025-02-21T14:36:56.812+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
14,2025-02-21T18:01:36.567+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,1
15,2025-02-21T18:13:54.195+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,1
16,2025-02-21T18:16:03.049+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,1
17,2025-02-21T18:18:28.531+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
