id,created_at,user_id,c6_4_1,c6_4_2,dev_level
1,2025-02-18T12:36:39.837+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
2,2025-02-18T12:42:47.133+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
3,2025-02-18T14:12:52.7+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
4,2025-02-18T14:36:17.705+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
5,2025-02-18T14:56:44.976+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
6,2025-02-18T15:08:02.728+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
7,2025-02-19T16:51:40.059+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
8,2025-02-19T17:18:27.386+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
9,2025-02-19T17:22:24.575+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
10,2025-02-21T14:25:59.203+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
11,2025-02-21T15:00:05.411+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
12,2025-02-21T15:30:11.894+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
13,2025-02-21T17:58:58.488+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
14,2025-02-21T18:11:23.17+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
15,2025-02-24T19:11:15.203+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
16,2025-03-11T18:53:58.172+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,True,3
17,2025-03-14T18:23:44.816902+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
18,2025-03-14T18:28:32.222675+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
19,2025-03-14T18:42:35.767527+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
20,2025-03-14T18:51:18.55857+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
21,2025-03-18T16:20:21.398009+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
22,2025-03-25T13:01:55.776534+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
23,2025-03-25T13:02:28.343381+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
24,2025-03-25T13:15:45.979014+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
25,2025-03-25T17:37:19.657704+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
