id,created_at,user_id,c12_4_1,c12_4_2,c12_4_3,c12_4_4,c12_4_5,dev_level
1,2025-02-18T13:47:03.569+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,,,,4
2,2025-02-18T13:47:11.872+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,,,,4
3,2025-02-18T13:52:06.818+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,,,,1
4,2025-02-18T14:36:21.755+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,,,,1
5,2025-02-18T15:18:37.887+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,False,False,True,2
6,2025-02-18T15:23:18.421+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,False,False,True,2
7,2025-02-18T15:27:03.861+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,,,,4
8,2025-02-19T16:51:43.591+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,,,,1
9,2025-02-19T17:15:55.913+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,False,False,True,2
10,2025-02-19T17:15:58.242+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,False,False,True,2
11,2025-02-19T17:21:44.794+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,False,True,True,2
12,2025-02-21T14:15:58.28+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,,,,4
13,2025-02-21T14:37:00.829+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,,,,4
14,2025-02-24T18:54:14.665+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,4
15,2025-02-24T19:03:51.791+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,True,1
