id,created_at,user_id,c1_4_1,c1_4_2,c1_4_3,c1_4_4,c1_4_5,c1_4_6,c1_4_7,c1_4_8,c1_4_9,dev_level
1,2025-02-18T13:10:57.395+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,True,,,,,2
2,2025-02-18T13:48:08.809+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,False,True,2
3,2025-02-18T13:58:02.236+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,True,False,True,1
4,2025-02-18T14:06:33.832+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,True,,,,,4
5,2025-02-18T14:24:25.263+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,True,,,,,4
6,2025-02-18T14:53:34.715+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,False,True,2
7,2025-02-19T16:59:08.887+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,,,,,4
8,2025-02-21T14:42:39.725+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,True,False,2
9,2025-02-21T18:07:36.227+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,False,False,2
10,2025-02-21T18:10:50.487+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,False,False,1
11,2025-03-18T15:47:01.446796+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,False,False,False,False,1
12,2025-03-25T13:04:13.583227+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,False,False,True,True,False,2
13,2025-03-25T20:12:17.330039+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,False,False,True,False,True,3
14,2025-03-26T17:25:09.798244+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,True,False,False,True,3
15,2025-03-26T20:03:22.976628+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,False,True,True,False,3
