id,created_at,user_id,c9_3_1,c9_3_2,c9_3_3,c9_3_4,c9_3_5,c9_3_6,c9_3_7,c9_3_8,dev_level
1,2025-02-18T12:34:33.317+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,False,False,False,True,4
2,2025-02-18T12:37:35.39+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,True,False,False,False,1
3,2025-02-18T13:58:31.205+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,False,True,False,False,2
4,2025-02-18T14:11:54.514+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,False,True,False,False,2
5,2025-02-18T14:16:20.071+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,False,True,False,False,2
6,2025-02-19T17:24:28.789+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,,,,,2
7,2025-02-21T13:43:05.577+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,False,False,True,False,4
8,2025-02-21T15:26:00.039+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,True,True,False,False,1
9,2025-02-21T17:59:41.983+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,,,,,4
10,2025-02-24T19:02:34.22+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,False,False,False,True,4
