id,created_at,user_id,c7_1_1,c7_1_2,c7_1_3,c7_1_4,dev_level
1,2025-02-18T12:40:12.206+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,4
2,2025-02-18T13:42:00.433+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,True,3
3,2025-02-18T13:56:43.114+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,3
4,2025-02-18T14:56:50.95+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,1
5,2025-02-19T17:17:34.78+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,1
6,2025-02-21T13:39:46.472+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,True,False,2
7,2025-02-21T14:01:47.735+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,1
8,2025-02-21T14:17:11.799+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,2
9,2025-02-21T15:00:48.871+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,4
10,2025-02-21T18:14:30.334+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,2
11,2025-02-21T18:15:52.493+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,True,False,1
